Figure,p,Method,Epsilon,AccuracyMean,AccuracyStd,UnfairnessMean,UnfairnessStd,RuntimeMean,RuntimeStd,Repetitions
2,0.5,Our Eps-Fair,0.0,0.8669,0.02071539490830183,0.05975755753261464,0.023401821898545564,0.22506021667019618,0.06753005396400485,30
2,0.5,Our Eps-Fair,0.05,0.8731333333333333,0.02057070788739433,0.03797186056413578,0.010972603259574639,0.017206746669641386,0.01763750134584498,30
2,0.5,Our Eps-Fair,0.1,0.8732000000000001,0.020174070076419328,0.038284999155395454,0.009979865221810465,0.008845143326713394,0.0014487487918011773,30
2,0.5,Our Eps-Fair,0.15,0.8730666666666667,0.0200532624112221,0.03764833806517921,0.00976893194918108,0.00872556666242114,0.0012436462252256618,30
2,0.5,Our Eps-Fair,0.2,0.8731666666666666,0.02002082249392699,0.038026357826345926,0.009858503193952161,0.009159650000704763,0.0014421927642456831,30
2,0.5,Unfair,,0.8731666666666666,0.020164980455770573,0.03807083618356973,0.010061512399188658,0.031592559998777386,0.0031218873631076367,30
2,0.6,Our Eps-Fair,0.0,0.8381666666666666,0.015159117737345814,0.052846949979831054,0.01826923208772826,0.242368120001629,0.08172971866468452,30
2,0.6,Our Eps-Fair,0.05,0.8674333333333333,0.01450013872307807,0.08250914113364817,0.01855373793216525,0.1579338200050794,0.06437794343981196,30
2,0.6,Our Eps-Fair,0.1,0.8734333333333333,0.015475638994847708,0.0893125365324034,0.016490596049541784,0.020728083333233373,0.032106229976195784,30
2,0.6,Our Eps-Fair,0.15,0.8732333333333333,0.0158346702399891,0.08903066962064234,0.016369994650070996,0.009692653327753457,0.0018242498233422397,30
2,0.6,Our Eps-Fair,0.2,0.8735666666666667,0.015591074664544556,0.08906236956063819,0.016070024468870802,0.009504640003433451,0.0016439440076440543,30
2,0.6,Unfair,,0.8731333333333333,0.015793349393256384,0.08924410824794436,0.016356974239270145,0.03128437666649309,0.003727422897004631,30
2,0.7,Our Eps-Fair,0.0,0.7481000000000001,0.018191225622677935,0.051860744025560804,0.018367983073413308,0.22337874333315993,0.044069376699721524,30
2,0.7,Our Eps-Fair,0.05,0.8046000000000001,0.0173892555015029,0.0867997107866517,0.02307705568098422,0.22425145666638854,0.07421570544845638,30
2,0.7,Our Eps-Fair,0.1,0.8516999999999999,0.015563330022180709,0.1384812313392398,0.020031365431139033,0.22609134666466466,0.06670414853821309,30
2,0.7,Our Eps-Fair,0.15,0.8722333333333334,0.016914966507623475,0.16754580945638828,0.01756808962504607,0.10417803000309504,0.05440444413259513,30
2,0.7,Our Eps-Fair,0.2,0.8727666666666667,0.0166581932483343,0.17130677304248568,0.016862514360419027,0.009070626667623097,0.0023908404847115317,30
2,0.7,Unfair,,0.8731666666666666,0.016573937441020172,0.17144814105425915,0.017087170910338352,0.031078440000419504,0.0030454370964856804,30
2,0.75,Our Eps-Fair,0.0,0.7194,0.02202443783775116,0.05596620745242973,0.02031421950115733,0.24096391667165637,0.06392568103227257,30
2,0.75,Our Eps-Fair,0.05,0.7799333333333334,0.018127771290316518,0.0918921967477146,0.020120731733354213,0.23230940999637822,0.06175297766049286,30
2,0.75,Our Eps-Fair,0.1,0.8350666666666666,0.015828680502075348,0.14355390992774364,0.016616863454279415,0.2491821866686223,0.07194870913924936,30
2,0.75,Our Eps-Fair,0.15,0.8699333333333333,0.014626224283170583,0.19035664552410356,0.018508907191220673,0.21773693999663615,0.06499332227258074,30
2,0.75,Our Eps-Fair,0.2,0.8756333333333333,0.01602257746137458,0.2153957643476767,0.016265310451849608,0.09992803666779461,0.05416139733157231,30
2,0.75,Unfair,,0.8744666666666667,0.016533629956553116,0.2187955164712014,0.01734428921384424,0.03147338666797926,0.003801755348866045,30
2,0.8,Our Eps-Fair,0.0,0.6733666666666667,0.01930424883253699,0.04805459861832196,0.016522468566058664,0.24376649333474537,0.07889313907136979,30
2,0.8,Our Eps-Fair,0.05,0.7376666666666666,0.016161540839253256,0.08934110157722702,0.01952760895782949,0.23044743332914852,0.05244248344052573,30
2,0.8,Our Eps-Fair,0.1,0.7970333333333334,0.015698634540519164,0.13939286882476692,0.018397566781033044,0.2276796066648482,0.0570744284711409,30
2,0.8,Our Eps-Fair,0.15,0.8455333333333334,0.015611077705476846,0.19006610986382755,0.020314262173005755,0.25035552666522565,0.057851367557732306,30
2,0.8,Our Eps-Fair,0.2,0.8741,0.015068464443653694,0.23943741460443357,0.02067448877319544,0.21846498000183298,0.05754778581841032,30
2,0.8,Unfair,,0.8707666666666667,0.012107801227915521,0.26446375697825686,0.018463490075446645,0.03149026000270775,0.005141646027279182,30
2,0.9,Our Eps-Fair,0.0,0.5886333333333333,0.02013828629036353,0.0520176430869411,0.018200810186023708,0.26101933666698945,0.05002639656308789,30
2,0.9,Our Eps-Fair,0.05,0.6569,0.022109991500177714,0.09017181732203125,0.020405177047027996,0.2518842033353091,0.04595964114643018,30
2,0.9,Our Eps-Fair,0.1,0.7248,0.020830018127030385,0.1429313846029779,0.021107006992556902,0.24636408666556237,0.05636558358408196,30
2,0.9,Our Eps-Fair,0.15,0.7843666666666668,0.017744320768635524,0.19308612137102646,0.021207200840667996,0.2465554566665863,0.05313990323054041,30
2,0.9,Our Eps-Fair,0.2,0.8384333333333333,0.017756365217778295,0.24135879000559973,0.022228980649475757,0.2507578433316667,0.07575257216710765,30
2,0.9,Unfair,,0.8790666666666667,0.016066528353484887,0.33805823112027916,0.012665074438741897,0.030280499998480082,0.0024549951443336724,30
2,0.99,Our Eps-Fair,0.0,0.5051666666666667,0.02075154058814934,0.057182709152560025,0.021002637589456467,0.2833879466673049,0.05370179166917116,30
